categoria,centroide_lat,centroide_lon,fuente,id,nombre,nombre_completo,provincia_id,provincia_interseccion,provincia_nombre
Partido,-37.9646160000000,-60.2482820000000,IGN,6014,Adolfo Gonzales Chaves,Partido de Adolfo Gonzales Chaves,6,0.0125820000000000,Buenos Aires
Departamento,-31.2902980000000,-58.2378700000000,IGN,30015,Concordia,Departamento Concordia,30,0.0414680000000000,Entre Ríos
Departamento,-30.9924270000000,-58.8918600000000,IGN,30035,Federal,Departamento Federal,30,0.0657430000000000,Entre Ríos
Departamento,-33.0223490000000,-58.7858050000000,IGN,30056,Gualeguaychú,Departamento Gualeguaychú,30,0.0970760000000000,Entre Ríos
Departamento,-33.6249960000000,-58.9338960000000,IGN,30063,Islas del Ibicuy,Departamento Islas del Ibicuy,30,0.0641370000000000,Entre Ríos
Departamento,-32.7839420000000,-60.2180700000000,IGN,30105,Victoria,Departamento Victoria,30,0.08535100000000,Entre Ríos
Departamento,-32.228041000000,-60.5239340000000,IGN,30021,Diamante,Departamento Diamante,30,0.03422400000000,Entre Ríos
Departamento,-32.4477600000000,-58.5842250000000,IGN,30098,Uruguay,Departamento Uruguay,30,0.0656690000000000,Entre Ríos
Departamento,-31.6952290000000,-60.0411740000000,IGN,30084,Paraná,Departamento Paraná,30,0.0648980000000000,Entre Ríos
Partido,-35.676806000000,-59.7026610000000,IGN,6707,Saladillo,Partido de Saladillo,6,0.0087270000000000,Buenos Aires
Partido,-36.015827000000,-59.1764610000000,IGN,6455,Las Flores,Partido de Las Flores,6,0.0108190000000000,Buenos Aires
Partido,-34.1928170000000,-60.7880230000000,IGN,6686,Rojas,Partido de Rojas,6,0.00652700000000000,Buenos Aires
Partido,-34.3286830000000,-58.7711790000000,IGN,6252,Escobar,Partido de Escobar,6,0.000955000000000000,Buenos Aires
Partido,-34.511853000000,-58.7776350000000,IGN,6412,José C. Paz,Partido de José C. Paz,6,0.000160000000000000,Buenos Aires
Partido,-38.5841890000000,-62.1694170000000,IGN,6056,Bahía Blanca,Partido de Bahía Blanca,6,0.0076290000000,Buenos Aires
Partido,-34.2207580000000,-59.5194430000000,IGN,6735,San Antonio de Areco,Partido de San Antonio de Areco,6,0.00273100000000000,Buenos Aires
Partido,-36.886933000000,-57.5861190000000,IGN,6511,Maipú,Partido de Maipú,6,0.00852600000000000,Buenos Aires
Partido,-38.2026280000000,-58.0718050000000,IGN,6280,General Alvarado,Partido de General Alvarado,6,0.00542300000000000,Buenos Aires
